label,url,brand,name,skin_type,spf,concern,concern2,concern3,key_ingredient,formulation,image
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-lightening-day-creme-15g/4384871/buy,Lakme,Absolute Perfect Radiance Skin Lightening Day Creme 15g,Combination,,General Care,,,,Cream,https://cdn.shopify.com/s/files/1/0398/1849/4111/products/Bio_morning_nector_skin_moisturiser.jpg?v=1620681625
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Moisturizer 190ml,Combination,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjwTQe57sdxsSMu_VbSwwpsd1_CJ1pqSEmWpL31WED7Jf76fU2LO1XUvG5gRAsKzjq8x8&usqp=CAU
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-aloe-hydration-skin-cream-100-ml/8529167/buy,Nivea,Unisex Aloe Hydration Skin Cream 100 ml,All,,Dull Skin,Dryness,General Care,Aloe Vera,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/vi-john/vi-john-women-set-of-5-saffron-fairness-cream-advanced/15390390/buy,VI-JOHN,Women Set of 5 Saffron Fairness Cream Advanced,All,15 to 30,Softening and Smoothening,Softening and Smoothening,Sun Protection,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme--peach-milk-soft-creme-150g/7552207/buy,Lakme,Peach Milk Soft Creme 150g,Combination,,General Care,,,,Cream,https://www.laneige.com/th/th/product/__icsFiles/afieldfile/2020/01/31/radian-c-cream-01.png
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-coconut-whitening--brightening-sustainable-cream-50g/1661415/buy,Biotique,Bio Coconut Whitening & Brightening Sustainable Cream 50g,Combination,,Uneven Skin Tone,Dull Skin,Hydration,Coconut,Cream,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,dpr-2/static/img/product/8189/biotique-coconut-whitening-and-brightening-cream-50-g_1_display_1544693147_1d90a229.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-women-perfect-radiance-skin-lightening-day-creme-50-g/1254169/buy,Lakme,Absolute Women Perfect Radiance Skin Lightening Day Creme 50 g,Normal,Below 15,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,LANEIGE,Radian-C Cream 30 ml,Combination,,Dark Spots,Uneven Skin Tone,,,Cream,https://www.laneige.com/th/th/product/__icsFiles/afieldfile/2020/01/31/radian-c-cream-01.png
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Lotion 120ml,Combination,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion,https://m.media-amazon.com/images/I/614BwMiuMoL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-soft-light-moisturizer-with-vitamin-e-100ml/2273976/buy,Nivea,Soft Light Moisturizer with Vitamin E 100ml,Combination,,General Care,Dryness,Softening and Smoothening,Vitamin E,Cream,https://pixiesmediapull-145ca.kxcdn.com/pub/media/catalog/product/cache/39500cf9d88472c26e1ec72addc15f3a/n/i/nivea-soft-light-moisturizer-for-face-hand-body-n_11_2.jpeg
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,Biotique,Vitamin C Correcting and Brightening Treatment Face Moisturizer 50 g,Normal,,General Care,Irregular Textures,Pigmentation,Vitamin C,Cream,"https://m.media-amazon.com/images/I/61OFVk+LGlL._AC_UF1000,1000_QL80_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-hydro-boost-emulsion-face-moisturisers-50-g/10337731/buy,Neutrogena,Hydro Boost Emulsion Face Moisturisers 50 g,Dry,50,General Care,,,"Water, Dimethicone, Glycerin, Cetearyl Olivate, Polyacrylamide, Sorbitan Olivate, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Synthetic Beeswax, C13-14 Isoparaffin, Dimethiconol, Dimethicone Crosspolymer, Chlorphenesin, Laureth-7, Carbomer, Sodium Hyaluronate, Ethylhexylglycerin,",Cream,https://m.media-amazon.com/images/I/71Bd6+BQQnL._SL1500_.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/bewakoof-cosmos/bewakoof-cosmos-touch-of-universe-face-moisturizer-with-vitamin-e--magnesium--100gms/15360926/buy,BEWAKOOF COSMOS,Touch of Universe Face Moisturizer with Vitamin E & Magnesium -100gms,Normal,,Dryness,Skin Inflammation,Sun Protection,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-day-cream-normal-spf-15---50g/13509836/buy,Olay,Total Effects 7 In One Day Cream Normal SPF 15 - 50g,Combination,15 to 30,Fine Lines and Wrinkles,Hydration,Softening and Smoothening,Vitamin C,Cream,https://www.theskinfit.com/uploads/product/Lifestyling_Curl_Perfectionist_150ml_-_2022-04-13T152135_285.png
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-women-white-glow-skin-whitening--brightening-nourishing-night-creme-40-g/11752736/buy,Lotus Herbals,Women White Glow Skin Whitening & Brightening Nourishing Night Creme 40 g,All,,Pigmentation,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-wheat-germ-youthful-nourishing-night-sustainable-cream-50g/1661469/buy,Biotique,Bio Wheat Germ Youthful Nourishing Night Sustainable Cream 50g,Combination,,Dryness,Deep Nourishment,Dryness,Almond Oil,Cream,https://m.media-amazon.com/images/I/51J4Pb43DIL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-bye-bye-blemishes-face-cream-30ml/11081528/buy,Mamaearth,Bye Bye Blemishes Face Cream 30ml,All,,Pigmentation,,,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-white-glow-day-night-pack-with-facial-wash-60g--60g--100g/1353659/buy,Lotus Herbals,Sustainable White Glow Day Night Pack with Facial Wash 60g + 60g + 100g,Normal,,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutriderm/neutriderm-vitamin-e-moisturising-lotion-125ml/13176342/buy,Neutriderm,Vitamin E Moisturising Lotion 125ml,Combination,,General Care,,,,Lotion,https://m.media-amazon.com/images/I/81EHVQ8L-bL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-revitalising-face-cream---green-tea-50-g/15283688/buy,Good Vibes,Revitalising Face Cream - Green Tea (50 g),All,,Softening and Smoothening,Hydration,Deep Nourishment,Green Tea,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,Olay,Regenerist Advanced Anti-Ageing Micro-Sculpting Cream 50 g,Dry,,Fine Lines and Wrinkles,,,"Water, Glycerin, Isohexadecane, Niacinamide, Isopropyl Isostearate, Aluminum Starch Octenylsuccinate, Nylon-12, Dimethicone, Panthenol, Tocopheryl Acetate, Palmitoyl Pentapeptide-4, Sodium Peg-7 Olive Oil Carboxylate, Sodium Hyaluronate, Caprylic/Capric Triglyceride, Ceratonia Siliqua (Carob) Fruit Extract",Cream,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,dpr-2/static/img/product/106866/olay-regenerist-advanced-anti-ageing-micro-sculpting-skin-cream-moisturizer-50-g_3_display_1513232013_86624a3d.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-creme-for-face---body---hands-75-ml/2273979/buy,Nivea,Men Creme for Face - Body - Hands 75 ml,Combination,,General Care,Dull Skin,Dryness,Vitamin E,Cream,https://m.media-amazon.com/images/I/51J4Pb43DIL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-women-non-oily-fresh-feel-light-moisturiser/7197046/buy,Ponds,Women Non-Oily Fresh Feel Light Moisturiser,All,,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,Neutrogena,Rapid Wrinkle Repair Night Moisturizer - 29 ml,Combination,,Fine Lines and Wrinkles,Pigmentation,,Retinol,Cream,https://cdn.shopify.com/s/files/1/0485/2409/9735/products/images_32_c8f78a5b-c574-4537-8978-dbbd53b42b9f_600x600.jpg?v=1652078472
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,LOreal,Paris White Perfect Whitening + Even Tone Night Cream 50ml,Combination,,Pigmentation,Blackheads and Whiteheads,,,Cream,https://www.hkarimbuksh.com/cdn/shop/products/loreal-pakistan-pvt-ltd-loreal-paris-white-perfect-night-cream-whitening-night-cream-50ml-6953129312385_600x600_crop_center.jpg?v=1629529864
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-oil-balance-moisturizer-for-slightly-oily-skin-45-ml/15345054/buy,SKINKRAFT,Women Oil Balance Moisturizer for Slightly Oily Skin 45 ml,Oily,,Fine Lines and Wrinkles,,,,Gel,https://m.media-amazon.com/images/I/51UzB+pWCWL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-white-advanced-fairness-treatment-sustainable-face-cream-50-g/2432712/buy,Biotique,Bio White Advanced Fairness Treatment Sustainable Face Cream 50 g,Combination,,Uneven Skin Tone,Hydration,,Lemon Juice,Cream,https://m.media-amazon.com/images/I/51ETgZIF8eL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-clinical-day-anti-spot-whitening-spf-19-pa-cream-50ml/135676/buy,LOreal,Paris White Perfect Clinical Day Anti Spot Whitening SPF 19 PA+++ Cream 50ml,Combination,15 to 30,Pigmentation,Dull Skin,Dark Spots,,Cream,"https://images-eu.ssl-images-amazon.com/images/I/41R3cIdXngL._AC_UL600_SR600,600_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/himalaya/himalaya-unisex-nourishing-skin-cream-100-ml/6627277/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy,Lotus Herbals,Sustainable WhiteGlow Skin Tightening Brightening Gel Creme with SPF 25 40g,Combination,15 to 30,Softening and Smoothening,,,,Gel,"https://www.jiomart.com/images/product/original/491021867/lotus-herbals-whiteglow-skin-whitening-brightening-nourishing-night-cream-60-g-product-images-o491021867-p491021867-0-202203170409.jpg?im=Resize=(420,420)"
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer-for-oily-skin---45-ml/15345052/buy,SKINKRAFT,Customized Moisturizer For Oily Skin - 45 ml,Oily,,Excess Oil,Dark Circles,Hydration,,Gel,https://m.media-amazon.com/images/I/51Z8UWVBHwL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/moisture-surge-100h-auto-replenishing-hydrator-15ml/13378346/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-moisturizing-anti-ageing-night-cream-50ml/62002/buy,LOreal,Paris Revitalift Moisturizing Anti-ageing Night Cream 50ml,Normal,,Skin Sagging,Hydration,,Retinol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-peach-milk-moisturiser-with-spf-24-200ml/7197213/buy,Lakme,Peach Milk Moisturiser with SPF 24 200ml,Combination,15 to 30,General Care,,,,Lotion,https://images-static.nykaa.com/media/catalog/product/2/3/23137_h-8901030696329.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-youth-restore-face-cream--120g/15444678/buy,BIOAYURVEDA,Youth Restore Face Cream- 120g,Normal,,Fine Lines and Wrinkles,Softening and Smoothening,Uneven Skin Tone,Aloe Vera,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-professional-phyto-rx-whitening--brightening-night-creme-50g/10365395/buy,Lotus Herbals,Sustainable Professional Phyto-Rx Whitening Brightening Night Creme 50g,Combination,,Dull Skin,,,,Cream,https://5.imimg.com/data5/SELLER/Default/2023/1/XZ/AK/VF/38409650/lotus-phytorx-whitening-brightening-night-cream.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/clinique-moisture-surge-100h-auto-replenishing-hydrator-30-ml/13378342/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-mattifying-sustainable-moisturizer-50ml/1460744/buy,Plum,Green Tea Range Mattifying Sustainable Moisturizer 50ml,All,,Acne or Blemishes,Blackheads and Whiteheads,Excess Oil,Green Tea,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-unisex-rice--ceramide-moisturizing-emulsion-150-ml/9113689/buy,The Face Shop,Unisex Rice & Ceramide Moisturizing Emulsion 150 ml,Dry,,Dryness,Dull Skin,Deep Nourishment,Ceramides,Lotion,https://img.tatacliq.com/images/i7/320Wx357H/MP000000009434322_320Wx357H_202104241824441.jpeg
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-winter-green-spot-correcting-anti-acne-sustainable-cream-15g/1661474/buy,Biotique,Bio Winter Green Spot Correcting Anti-Acne Sustainable Cream 15g,Oily,,Acne or Blemishes,Dark Spots,Acne or Blemishes,Neem,Cream,https://m.media-amazon.com/images/I/51S3YkUOL8L.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-revitalift-hyaluronic-acid-plumping-day-cream-50-ml/14172266/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-women-set-of-norwegian-formula-spf-15-lip-moisturizer--hydro-boost-water-gel/9653839/buy,Neutrogena,Women Set of Norwegian Formula SPF 15 Lip Moisturizer & Hydro Boost Water Gel,Combination,,Hydration,Deep Nourishment,Dryness,Hyaluronic Acid,Gel,https://hnbstore.pk/cdn/shop/products/image_b94d1d77-b9f7-4c06-b334-e82e4b61e650@2x.jpg?v=1655760172
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-black-cellular-restorative-balancing-night-face-creme-120-g/15722406/buy,BIOAYURVEDA,Black Cellular Restorative Balancing Night Face Creme 120 g,Dry,,Fine Lines and Wrinkles,Skin Sagging,Pigmentation,Aloe Vera,Cream,"https://images-eu.ssl-images-amazon.com/images/I/41w-WoLcGrL._AC_UL600_SR600,600_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-spf-20-pa--skin-lightening-light-creme-50-g/1254170/buy,Lakme,Absolute Perfect Radiance SPF 20 PA ++ Skin Lightening Light Creme 50 g,All,15 to 30,,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-skin-naturals-bb-cream-30-g/630316/buy,Garnier,Skin Naturals BB Cream 30 g,Normal,Below 15,Uneven Skin Tone,Blackheads and Whiteheads,Sun Protection,Vitamin C,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/himalaya/himalaya-unisex-nourishing-skin-cream-200-ml/6627254/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-unisex-skin-perfect-age-40-anti-aging-plus-whitening-sustainable-cream-50g/625428/buy,LOreal,Paris Unisex Skin Perfect Age 40+ Anti-Aging Plus Whitening Sustainable Cream 50g,Combination,,Fine Lines and Wrinkles,Blackheads and Whiteheads,Excess Oil,Retinol,Cream,"https://images-eu.ssl-images-amazon.com/images/I/51JXk7VQIrL._AC_UL600_SR600,600_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free--spf-15-face-moisturizer--115ml/6967604/buy,Neutrogena,Oil-Free SPF 15 Face Moisturizer 115ml,Combination,15 to 30,Sun Protection,,,,Cream,"https://m.media-amazon.com/images/I/51z2FKXNBDL._SX522_PIbundle-12,TopRight,0,0_AA522SH20_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-vitamin-c-glow-gel-creme-50-g/15311302/buy,Good Vibes,Vitamin C Glow Gel Creme (50 g),Combination,,Dull Skin,Softening and Smoothening,Deep Nourishment,Vitamin C,Cream,https://m.media-amazon.com/images/I/713F6Iqih0L._SX522_.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,Olay,Total Effects 7 In One Night Cream- 50 g,Normal,,Fine Lines and Wrinkles,Softening and Smoothening,Hydration,Vitamin C,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,Olay,Total Effects 7 In One Night Cream- 50 g,Normal,,Fine Lines and Wrinkles,Softening and Smoothening,Hydration,Vitamin C,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-e-luminence-deep-moisturising-sustainable-creme-50ml/1705380/buy,Plum,E-luminence Deep Moisturising Sustainable Creme 50ml,Combination,,Dryness,Blackheads and Whiteheads,,,Cream,https://www.indianbeautyhub.com/wp-content/uploads/2017/01/Screen-Shot-2017-01-09-at-1.50.34-PM.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-dark-spot-reduction-creme-75ml/1884774/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-brightening-with-sun-protection-day-creme-28-g/13364834/buy,Lakme,"Absolute Perfect Radiance Skin Brightening with Sun Protection Day Creme, 28 g",All,,General Care,Deep Nourishment,Sun Protection,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable--whiteglow-whitening--brightening-nourishing-night-creme-60g/95942/buy,Lotus Herbals,Sustainable Whiteglow Whitening Brightening Nourishing Night Creme 60g,Combination,,Pigmentation,,,,Cream,"https://www.jiomart.com/images/product/original/491021867/lotus-herbals-whiteglow-skin-whitening-brightening-nourishing-night-cream-60-g-product-images-o491021867-p491021867-0-202203170409.jpg?im=Resize=(420,420)"
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-spf-17-pa-day-cream--50ml/236321/buy,LOreal,Paris White Perfect Whitening + Even Tone SPF 17 PA++ Day Cream 50ml,Normal,15 to 30,Pigmentation,Blackheads and Whiteheads,Dark Spots,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/swiss-beauty/swiss-beauty-anti-ageing-pomegranate-extract-face-oil-30-ml/15580364/buy,SWISS BEAUTY,Anti-Ageing Pomegranate Extract Face Oil 30 ml,All,Below 15,Fine Lines and Wrinkles,Deep Nourishment,Hydration,,Oil,
face-moisturisers,https://www.myntra.com/face-moisturisers/mcaffeine/mcaffeine-oil-free-coffee-moisturizer-with-hyaluronic-acid--pro-vitamin-b5-50ml/14351572/buy,MCaffeine,mCaffeine Oil-Free Coffee Moisturizer with Hyaluronic Acid & Pro Vitamin B5 50ml,All,,Hydration,Excess Oil,General Care,Caffeine,Gel,
face-moisturisers,https://www.myntra.com/face-moisturisers/mac/mac-mini-strobe-cream---hydratant-lumineux-pinklite/12218208/buy,M.A.C,Mini Strobe Cream - Hydratant Lumineux Pinklite,All,,Hydration,Dull Skin,Dryness,Grape Seed Extract,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free-combination-skin-moisturizer-118ml/6967599/buy,Neutrogena,Oil-Free Combination Skin Moisturizer 118ml,Combination,,Excess Oil,Pigmentation,,Retinol,Cream,https://m.media-amazon.com/images/I/81xF5bnbZPL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-spf-30-day-cream-29-ml/2427949/buy,Neutrogena,Rapid Wrinkle Repair SPF 30 Day Cream 29 ml,Normal,30 and above,Fine Lines and Wrinkles,Pigmentation,,Retinol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/beardo/beardo-men-ultraglow-daily-moisturising-lotion-with-spf-30-100g/2111586/buy,BEARDO,Men Ultraglow Daily Moisturising Lotion with SPF 30 100g,Combination,30 and above,Sun Protection,,,Vitamin E,Liquid,"https://m.media-amazon.com/images/I/31G5LOuwLmS._AC_UF1000,1000_QL80_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-e-moisture-cream-50ml/2434703/buy,THE BODY SHOP,Vitamin E Moisture Cream 50ml,All,,Hydration,Excess Oil,,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-night-renewal-face-cream-for-lightening-spots--glow-boost---120-g/15722394/buy,BIOAYURVEDA,Night Renewal Face Cream For Lightening Spots & Glow Boost - 120 g,Combination,,Uneven Skin Tone,Tan Removal,Softening and Smoothening,Aloe Vera,Cream,"https://m.media-amazon.com/images/I/61YPalxv6MS._AC_UF1000,1000_QL80_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/moisture-surge-100h-auto-replenishing-hydrator-50ml/13378338/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-light-moisturiser-non-oily-fresh-feel-250-ml/9270865/buy,Ponds,Light Moisturiser Non-Oily Fresh Feel 250 ml,Combination,15 to 30,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/phy/phy-mens-green-tea-superlight-moisturizer/15018466/buy,Phy,Mens Green Tea Superlight Moisturizer,Oily,,Acne or Blemishes,Dark Spots,Hydration,Green Tea,Liquid,"https://m.media-amazon.com/images/I/51mVPJiZdFL._AC_UF1000,1000_QL80_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-natural-white-light-instant-glowing-fairness-skin-cream-with-uv-protection-20gm/13509840/buy,Olay,Natural White Light Instant Glowing Fairness Skin Cream with UV Protection-20gm,Normal,,General Care,Sun Protection,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/reequil/reequil-unisex-ceramide--hyaluronic-acid-moisturiser-for-normal-to-dry-skin/13512586/buy,Reequil,Unisex Ceramide & Hyaluronic Acid Moisturiser For Normal To Dry Skin,Dry,,Dryness,General Care,Softening and Smoothening,,Cream,https://s3.ap-south-1.amazonaws.com/vely-prod-media-bucket/products/kirp1_1.png
face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-wrinkle-lift-anti-ageing-cream-40g/7085392/buy,Garnier,Wrinkle Lift Anti-Ageing Cream 40g,Normal,,Fine Lines and Wrinkles,Blackheads and Whiteheads,Dull Skin,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer---ultra-rich-moisturizer-for-dry-skin---45-ml/15345050/buy,SKINKRAFT,Customized Moisturizer - Ultra Rich Moisturizer for Dry Skin - 45 ml,Dry,,Dryness,,,,Gel,"https://m.media-amazon.com/images/I/51QuYDv2esL._AC_UF1000,1000_QL80_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating--brightening-ayurvedic-night-cream-25g/10231653/buy,KAMA AYURVEDA,Sustainable Rejuvenating Brightening Ayurvedic Night Cream 25g,Normal,,Pigmentation,Dark Spots,Softening and Smoothening,Saffron,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-nutramoist-skin-renewal-spf-25-daily-cream-50g/57782/buy,Lotus Herbals,Sustainable Nutramoist Skin Renewal SPF 25 Daily Cream 50g,All,15 to 30,Dull Skin,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-women-morning-nectar-flawless-skin-cream-175-g/11699568/buy,Biotique,Women Morning Nectar Flawless Skin Cream 175 g,Combination,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Cream,"https://m.media-amazon.com/images/I/61JP4-EtwnL._AC_UF350,350_QL50_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-anti-wrinkle--firming-day--spf-23-pa-sustainable-day-cream-50ml/135674/buy,LOreal,Paris Revitalift Anti-Wrinkle & Firming Day SPF 23 PA++ Sustainable Day Cream 50ml,All,15 to 30,Fine Lines and Wrinkles,Skin Sagging,Deep Nourishment,Retinol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-c-glow-boosting-sustainable-moisturiser-for-dull--tired-skin-50-ml/1677311/buy,THE BODY SHOP,Vitamin C Glow Boosting Sustainable Moisturiser for Dull & Tired Skin 50 ml,All,,Pigmentation,Dull Skin,,Vitamin C,Gel,
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-rose-calamine-sun-protective-face-creme---spf-60---120-g/15722404/buy,BIOAYURVEDA,Rose Calamine Sun Protective Face Creme - SPF 60 - 120 g,All,30 and above,Sun Protection,Tan Removal,Dryness,Aloe Vera,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-oil-free-moisturizer-50-ml/14047514/buy,Plum,Green Tea Range Oil Free Moisturizer 50 ml,Oily,,Acne or Blemishes,Acne or Blemishes,Dull Skin,Green Tea Extracts,Lotion,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/14047514/2021/11/26/c406ce2d-506f-4aba-aae0-8539381bce2e1637926503015-Plum-Green-Tea-Range-Oil-Free-Moisturizer-50-ml-366163792650-1.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-women-youthrx-gineplex-anti-ageing-transforming-creme-50g/11618792/buy,Lotus Herbals,Sustainable Women YouthRX Gineplex Anti-Ageing Transforming Creme 50g,All,15 to 30,Fine Lines and Wrinkles,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-women-peach-milk-soft-creme-moisturizer-65-g/10327269/buy,Lakme,Women Peach Milk Soft Creme Moisturizer 65 g,Normal,,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-vitamin-c-face-cream-with-spf-20-50g/12087896/buy,Mamaearth,Vitamin C Face Cream With SPF 20 50g,Normal,15 to 30,Dull Skin,Dark Spots,,Vitamin C,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/colorbar/colorbar-spotlight-illuminating-lotion-30-ml/376706/buy,Colorbar,Spotlight Illuminating Lotion 30 ml,All,,Fine Lines and Wrinkles,Dark Spots,Dull Skin,,Lotion,
face-moisturisers,https://www.myntra.com/face-moisturisers/innisfree/innisfree-green-tea-seed-cream-50ml/7206920/buy,Innisfree,Green Tea Seed Cream 50ml,All,,Hydration,Dryness,Acne or Blemishes,Green Tea,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/azani-active-care/azani-active-care-unisex-10-azelaic-acid-booster-cream--30-ml/15322506/buy,Azani Active Care,Unisex 10% Azelaic Acid Booster Cream- 30 ml,All,,Deep Nourishment,Acne or Blemishes,Dark Spots,Azelaic Acid,Cream,
